o,Content scope,Content scope details,Use cases,Use cases details,Provisions,Provisions details,Technologies,Technologies details,Technology requirements,Technology requirements details,Remedies and penalties,Remedies details,
AI Labeling Act of 2023,Qualified (qualitative) usage of AI,"Aritifical intelligence (from section 238(g) of the John S. McCain National Defense Authorization Act for Fiscal Year 2019): 

Generative artificial intelligence system: any system that uses artificial intelligence to generate or substantially modify image, video, audio, multimedia, or text content.

Covered content: image, video, audio, multimedia, or text content that is substantially created or modified by a generative artificial intelligence system such that the use of the system materially alters the meaning or significance that a reasonable person would take away from the content.",General,General,"Model providers must add disclosures, Disclosures must not be removed",Requires that model providers contractually enforce that watermarks are not removed.,Underspecified,"""Clear and conspicuous disclosure""","Qualitative requirements, Specific requirements","""(A) For any content that is solely visual or solely audible, the disclosure shall be made through the same means through which the content is presented.

(B) For any content that is both visual and audible, the disclosure shall be visual and audible.

(C) A visual disclosure, by its size, contrast, location, the length of time it appears, and other characteristics, shall stand out from any accompanying text or other visual elements so that the disclosure is easily noticed, read, and understood.

(D) An audible disclosure shall be delivered in a volume, speed, and cadence sufficient for a reasonable person to easily hear and understand the disclosure.

(E) The disclosure shall not be avoidable.

(F) The disclosure shall use diction and syntax understandable to a reasonable person.

(G) The disclosure shall not be contradicted or mitigated by, or inconsistent with, anything else in the communication.""

""To the extent technically feasible, be permanent or unable to be easily removed by subsequent users.""",Other,"Shall be treated as ""a violation of a rule defining an unfair or deceptive act or practice under section 18(a)(1)(B) of the Federal Trade Commission Act"".",
Advisory for AI-Generated Content Act,Qualified (qualitative) usage of AI,"AI-generated material: ""means artificial intelligence technology that can produce various types of content, including text, images, audio, or synthetic data.""

Covered content: ""AI-generated material that---(A) impersonates a specific individual or group of individuals;

(B) is represented as original material by the AI-generating entity that produced the material, including with respect to artwork, songs, or news media; or

(C) meets such criteria as the Commission may establish.""",General,,"Model providers must add disclosures, Standards must be developed","Development of standards: ""Not later than 180 days after the date of enactment of this section, the Commission, in consultation with the Federal Communications Commission, the Attorney General, and the Secretary of Homeland Security, shall issue regulations to establish standards for the watermarks required"".

Unclear definition of AI-generating entity (model provider or model users?).",Underspecified,"""Watermark""",Qualitative requirements,As specified later by standards.,Violation of established act,"""Any person who violates this section or a regulation promulgated thereunder shall be subject to the penalties and entitled to the privileges and immunities provided in the Federal Trade Commission Act (15 U.S.C. 41 et seq.).""",
Content Origin Protection and Integrity from Edited and Deepfaked Media Act of 2024,Qualified (quantitative) usage of AI,"Artificial intelligence (from section 5002 of the National Artificial Intelligence Initiative Act of 2020): ""a machine-based system that can, for a given set of human-defined objectives, make predictions, recommendations or decisions influencing real or virtual environments. Artificial intelligence systems use machine and human-based inputs to-

(A) perceive real and virtual environments;

(B) abstract such perceptions into models through analysis in an automated manner; and

(C) use model inference to formulate options for information or action.""

Synthetic content: ""information, including works of human authorship such as images, videos, audio clips, and text, that has been wholly generated by algorithms, including by artificial intelligence.""

Synthetically-modified content: ""information, including works of human authorship such as images, videos, audio clips, and text, that has been significantly modified by algorithms, including by artificial intelligence."" Note: significantly modified not defined.

Covered content: synthetic and synthetically-modified content.",General,General.,"Model providers must add disclosures, Standards must be developed, Disclosures must not be removed","Model providers must add watermarks: provide ability to include watermarks.

Development of standards: ""The Under Secretary shall establish a public-private partnership to facilitate the development of standards regarding content provenance information technologies and the detection of synthetic content and synthetically-modified content, including with respect to the following:

(1) Facilitating the development of guidelines and voluntary, consensus-based standards and best practices for watermarking, content provenance information, synthetic content and synthetically-modified content detection, including for images, audio, video, text, and multimodal content, the use of data to train artificial intelligence systems, and such other matters relating to transparency of synthetic media as the Under Secretary considers appropriate.

(2) Facilitating the development of guidelines, metrics, and practices to evaluate and assess tools to detect and label synthetic content, synthetically-modified content, and non-synthetic content, including artificial intelligence red-teaming and artificial intelligence blue-teaming.

(3) Establishing grand challenges and prizes in coordination with the Defense Advanced Research Projects Agency and the National Science Foundation to detect and label synthetic content, synthetically-modified content, and non-synthetic content and to develop cybersecurity and other countermeasures to defend against tampering with detection tools, watermarks, or content provenance information.""",Underspecified,"Add watermarks: ""content provenance information"", defined as ""state-of-the-art, machine-readable information documenting the origin and history of a piece of digital content, such as an image, a video, audio, or text"".",Qualitative requirements,"Add watermarks: subject to the requirements specified later by standards, be "" machine-readable"", and  ""not easily removed, altered, or separated from the underlying content"".",Violation of established act,"Violation ""shall be treated as a violation of a rule defining an unfair or deceptive act or practice prescribed under section 18(a)(1)(B) of the Federal Trade Commission Act (15 U.S.C. 57a(a)(1)(B)).""",
Protecting Consumers from Deceptive AI Act,Qualified (quantitative) usage of AI,"""created or substantially modified""",,,"Model providers must add disclosures, Standards must be developed, Disclosures must not be removed",Disclosures must not be removed: only for ``covered online platforms'',Underspecified,"""Disclosure"" that is ""machine-readable""",Qualitative requirements,"""(B) establish and implement reasonable measures to prevent a disclosure described in subparagraph (A) from being removed or otherwise tampered with;""",,,
2660 (Pennsylvania),Unqualified usage of AI,"Artificial intelligence: ""Technology or tools that use
predictive algorithms to create new content, including audio,
code, images, text, simulations, videos and the likeness of
another individual.""

Covered content: ""image, text, simulation or video [created] using artificial intelligence""","General, Exceptions",General. Exceptions: film or television shows satisfying some defined conditions.,Models users must add disclosures,,Underspecified,"Watermark: ""A mark placed on an artificial intelligence
generated image, simulation or video.""",Specific requirements,"Covers 30% of the content, minimum 50% opacity, and containing the statement ""artificial intelligence generated material"".",Monetary penalties,"$1000 for first offense, and $10000 if repeated offense within five years.",
H 1267 (Mississippi),Unqualified usage of AI,"Covered content: ""generated in whole or in part by synthetic media using artificial intelligence algorithms""",Specific,"Use case: political communications (campaign materials), and newspapers covering publishing about political candidates",Models users must add disclosures,,Underspecified,"""Clear and prominent disclaimer""",No requirements,No requirements,Monetary penalties,"For newspapers, damages are ""the injury suffered or a penalty of Five Hundred Dollars ($500.00), whichever is the larger amount"".",
S 6859 (New York),Qualified (qualitative) usage of AI,"Artificial intelligence: ""the use of machine learning technology, software, automation, and algorithms to perform tasks, to make rules and/or predictions based on existing data sets and instructions, including, but not limited to:

(i) Any artificial system that performs tasks under varying and unpredictable circumstances without significant human oversight, or that can learn from experience and improve performance when exposed to data sets;

(ii) An artificial system developed in computer software, physical hardware, or other context that solves tasks requiring human-like perception, cognition, planning, learning, communication, or physical action;

(iii) An artificial system designed to think or act like a human, including cognitive architectures and neural networks;

(iv) A set of techniques, including machine learning, that is designed to approximate a cognitive task; and/or

(v) An artificial system designed to act rationally, including an intelligent software agent or embodied robot that achieves goals using perception, planning, reasoning, learning, communicating, decision making, and acting.""

Covered content: ""digitally created asset created, reproduced, or modified by computer, using generative artificial intelligence or a software algorithm, that is intended to create the impression that the asset is a natural performer who is not recognizable as any identifiable natural performer"". Note that ""intended to create"" is not defined.",Specific,Use case: business advertising.,Models users must add disclosures,,Underspecified,"Broad mention of ""disclosure""",No requirements,No requirements,Monetary penalties,"Fines of ""one thousand dollars for a first violation, and five thousand dollars for any subsequent violation""",
S 9640 (New York),Unqualified usage of AI,"Generative artificial intelligence: ""the use of machine learning technology, software, automation, and algorithms to perform tasks, to make rules and/or predictions based on existing data sets and instructions, including, but not limited to:

1. any artificial system that performs tasks under varying and unpredictable circumstances without significant human oversight, or that can learn from experience and improve performance when exposed to data sets;

2. an artificial system developed in computer software, physical hardware, or other context that solves tasks requiring human-like perception, cognition, planning, learning, communication, or physical action;

3. an artificial system designed to think or act like a human, including cognitive architectures and neural networks;

4. a set of techniques, including machine learning, that is designed to approximate a cognitive task; and/or

5. an artificial system designed to act rationally, including an intelligent software agent or embodied robot that achieves goals using perception, planning, reasoning, learning, communicating, decision making, and acting.""

Covered content: ""paper or file served that was drafted with the assistance of generative artificial intelligence""",Specific,Filings in civil actions,Models users must add disclosures,,Underspecified,"""Separate affidavit"" with a disclosure",No requirements,No requirements,Not mentioned,Not mentioned,
S 131 (Utah),Qualified (quantitative) usage of AI,"Artificial intelligence: ""a machine-based system that can, for a given set of human-defined objectives, make predictions, recommendations, or decisions influencing real or virtual environments.""

Generative artificial intelligence: ""artificial intelligence technology that is capable of creating content such as text, audio, image, or video based on patterns learned from large volumes of data rather than being explicitly programmed with rules.""

""Synthetic audio media"":"" audio content that was substantially produced by generative artificial intelligence"".

""Synthetic visual media"": ""an image or video that was substantially produced by generative artificial intelligence.""

Covered content: ""audio or visual communication that [...] contains synthetic media"". Note: ""substantially produced"" not well defined.",Specific,"Political advertising: ""(a) is paid for by a candidate campaign committee, political action committee, political issues committee, political party, or a person using a contribution;

(b) is intended to influence voting for or against a candidate or ballot proposition in an election or primary in the state""",Models users must add disclosures,,Underspecified,"""Disclosures""

""Tamper-evident digital content provenance""","Qualitative requirements, Specific requirements","For disclosures: ""An audio communication [...] that contains synthetic audio media shall include audibly at the beginning and end of the communication the words, ""Contains content generated by AI.""

A visual communication [...] that contains synthetic media shall display throughout the duration of each portion of the communication containing synthetic media, in legible writing, the words:

(a) ""This video content generated by AI,"" if the content is a video that includes synthetic visual media but not synthetic audio media;

(b) ""This image generated by AI,"" if the content is an image that includes synthetic visual media but not synthetic audio media;

(c) ""This audio content generated by AI,"" if the video includes synthetic audio media but not synthetic visual media; or

(d) ""This content generated by AI,"" if the communication includes both synthetic audio media and synthetic visual media.""

For tamper-evident digital content provenance: must include ""(a) the initial author and creator of the content;

(b) any subsequent entities that edited, altered, or otherwise modified the content; and

(c) any use of generative artificial intelligence in generating or modifying the substantive content.""",Monetary penalties,Penalty not exceeding $1000 for each violation.,
H 1734 (Hawaii),Qualified (qualitative) usage of AI,"Generative artificial intelligence: ""the use of computers, machines, or similar technology to create an artificial image, video footage, or audio recording of an actual person, place, or thing that a reasonable third party would likely perceive to be an actual image, video footage, or an audio recording of that person, place, or thing.""

Covered content: content ""that contains an image, video footage, or audio recording that is created in whole or in part with the use of generative artificial intelligence shall """,Specific,Political campaigns,Models users must add disclosures,,Underspecified,"""Clear and conspicuous statement""","Qualitative requirements, Specific requirements","""(1) If the advertisement consists of still images, text, or both, without any video footage or audio recording, the statement shall:

(A) Appear in a font that is not smaller than the majority of the text in the advertisement;

(B) Be contained in a printed box set apart from the other contents of the communication; and

(C) Be printed with a reasonable degree of color contrast between the background and the printed statement;

(2) If the advertisement includes any audio recording, the statement shall be made in a clearly audible and intelligible manner at the beginning or end of the advertisement, for no less than three seconds; or

(3) If the advertisement contains video footage, the statement shall:

(A) Be included at either the beginning or the end of the advertisement;

(B) Appear in a written format that is clearly comprehensible and otherwise meets the requirements of paragraph (1) and appears for at least four seconds; and

(C) Also be made in a audible manner, pursuant to paragraph (2); provided that this subparagraph shall not apply if the advertisement does not contain any other audio recording.""",Violation of established act,"""Fine under section 11-410.""",
A 664 (Wisconsin),Qualified (quantitative) usage of AI,"Artifical intelligence: not defined.
Covered content: ""audio or video content that is substantially produced in whole or in part by means of generative artificial intelligence"". Note: substantially produced is not defined.",Specific,"“Issue advocacy”: a communication that provides information about political or social issues and is made to influence the outcome of an election.

Use case: communications that ""express advocacy or issue advocacy or supporting or opposing a referendum""",Models users must add disclosures,,Specific,Perceivable disclaimers,Specific requirements,"Audio communications must contain ""at the beginning and at the end of the communication the words “Contains content generated by AI.”""

Video communication must contain ""in writing that is readable, legible, and readily accessible, the words “This video content generated by AI” if the video includes video synthetic media only, “This audio content generated by AI” if the video includes audio synthetic media only, or “This content generated by AI” if the video includes both video and audio synthetic media.",Monetary penalties,"$1,000 per violation",
S 88 (North Carolina),Qualified (qualitative) usage of AI,"General artificial intelligence: ""a machine-based system that can, for a given set of human-defined objectives, emulate the structure and characteristics of input data in order to generate derived synthetic content, including audio, images, text, videos, and other digital content.""

Covered content: content ""created in whole or in part with the use of generative artificial intelligence, if the generated content appears to depict an individual performing an action that did not actually occur, was created to injure a candidate or deceive regarding a ballot issue, or provides false or misleading information to a voter"".",Specific,Political advertising,Models users must add disclosures,,Underspecified,"""Disclosure"" or ""statement""",Specific requirements,"Includes ""The content in this advertisement has been edited or created in whole or in part with the use of generative artificial intelligence (AI).""",Not mentioned,Not mentioned,
A 2355 (California),Qualified (qualitative) usage of AI,"Artificial intelligence: ""an engineered or machine-based system that varies in its level of autonomy and that can, for explicit or implicit objectives, infer from the input it receives how to generate outputs that can influence physical or virtual environments.""

""Generated or substantially altered using artificial intelligence"": ""(i) The visual or audio media is entirely created using artificial intelligence and would falsely appear to a reasonable person to be authentic.

(ii) The visual or audio media is materially altered by artificial intelligence such that the alteration would cause a reasonable person to have a fundamentally different understanding of the altered media when comparing it to an unaltered version.""

Covered content: content that ""contains any image, audio, or video that is generated or substantially altered using artificial intelligence.""",Specific,Political advertising,Models users must add disclosures,,Specific,"""Clear and conspicious"" disclosure",Specific requirements,"Disclosure includes ""Ad generated or substantially altered using artificial intelligence.""

Depending on the type of content, the disclosure must satisfy a number of low-level requirements.",Violation of established act,"If there is a lack of compliance ""the Commission may take either of the following actions:

(A) Seek injunctive relief to compel compliance pursuant to Section 90009.

(B) Pursue any administrative or civil remedies available under Chapter 3 (commencing with Section 83100) or Chapter 11 (commencing with Section 91000).""",
S 7847 (New York),Unqualified usage of AI,"Generative artificial intelligence: ""the use of machine learning technology, software, automation, and algorithms to perform tasks or to make rules and/or predictions based on existing data sets and instructions, including, but not limited to:

(a) any artificial system that performs tasks under varying and unpredictable circumstances without significant human oversight, or that can learn from experience and improve performance when exposed to data sets;

(b) an artificial system developed in computer software, physical hardware, or other context that solves tasks requiring human-like perception, cognition, planning, learning, communication, or physical action;

(c) an artificial system designed to think or act like a human, including cognitive architectures and neural networks;

(d) a set of techniques, including machine learning, that is designed to approximate a cognitive task; or

(e) an artificial system designed to act rationally, including an intelligent software agent or embodied robot that achieves goals using perception, planning, reasoning, learning, communicating, decision making, and acting.""

Covered content: content that was ""wholly or partially composed or authored through the use of generative artificial intelligence"".",Specific,"Publications (""newspaper, magazine or other publication printed or electronically published"").",Models users must add disclosures,,Underspecified,"""Conspicuously imprint"".",Specific requirements,"Disclosure should be ""on the top of the page or webpage"" and say that the content ""was composed through the use of artificial intelligence or other information communication technology.""",Not mentioned,Not mentioned.,
S 7922 (New York),Unqualified usage of AI,"Generative artificial intelligence: ""the use of machine learning technology, software, automation, and algorithms to perform tasks, to make rules and/or predictions based on existing data sets and instructions, including, but not limited to:

(a) Any artificial system that performs tasks under varying and unpredictable circumstances without significant human oversight, or that can learn from experience and improve performance when exposed to data sets;

(b) An artificial system developed in computer software, physical hardware, or other context that solves tasks requiring human-like perception, cognition, planning, learning, communication, or physical action;

(c) An artificial system designed to think or act like a human, including cognitive architectures and neural networks;

(d) A set of techniques, including machine learning, that is designed to approximate a cognitive task; and/or

(e) An artificial system designed to act rationally, including an intelligent software agent or embodied robot that achieves goals using perception, planning, reasoning, learning, communicating, decision making, and acting.""",Specific,"Publishining of books (it ""shall include, but not be limited to, all printed and digital books, regardless of such books' target age group or audience, consisting of text, pictures, audio, puzzles, games or any combination thereof."").",Models users must add disclosures,,Underspecified,"""Conspicuously disclose"".",Specific requirements,"On cover, and mentions that ""that such book was created with the use of generative artificial intelligence"".",Not mentioned,Not mentioned.,
H 2707 (Tennessee),Unqualified usage of AI,"Artificial intelligence: ""a machine-based system that:

(i) Can, for a set of human-defined objectives, make predictions, recommendations, or decisions influencing real and virtual environments without significant human oversight, or that can learn from experience in an automated manner and improve the system's performance when exposed to data sets; or

(ii) Is developed in any context, including software or physical hardware, and solves tasks requiring human-like perception, cognition, planning, learning, communication, or physical action; and""

Generative artificial intelligence: ""an artificial intelligence system that is capable of creating new content or data, including text, images, audio, or video, when prompted by an individual""

Covered content: the following content when it is generated using A.I.:

(A) An image, video, or audio recording, including a song, using the likeness of another individual; or

(B) A piece of literature or other written work, including a news story, when the literature or other written work is written by an individual other than the individual listed as the author.""",Specific,Included in the definition of covered content.,Models users must add disclosures,,Underspecified,"""Disclosure"": ""a clear and conspicuous notice, appropriate for the medium of the content, that identifies that content as A.I.-generated"".",Specific requirements,"Disclosure ""must be included regardless of whether the content is distributed:

(1) In the same form as it was generated; or

(2) After modification by a person.""","Monetary penalties, Violation of established act","""If the court finds that a person distributed A.I.-generated content without the disclosure required by § 47-18-5702, then the court must issue an injunction and award to the prevailing party:

(1) Actual damages;

(2) Punitive damages, if any; and

(3) Reasonable attorneys' fees and court costs.""

""A violation of this part constitutes a violation of the Tennessee Consumer Protection Act of 1977, compiled in part 1 of this chapter. A violation of this part constitutes an unfair or deceptive act or practice affecting trade or commerce and is subject to the penalties and remedies as provided in the Tennessee Consumer Protection Act of 1977, in addition to the penalties and remedies in this part.""",
S 1044 (Pennsylvania),Unqualified usage of AI,"Artificial intelligence: ""technology or tools that use predictive algorithms to create new content, including audio, code, images, text, simulations or videos"".

Covered content: ""any content generated by artificial intelligence"".",Specific,Trade or commerce,Models users must add disclosures,,Underspecified,"""Clear and conspicuous disclosure""","Specific requirements, Qualitative requirements","""(i) The statement or disclosure is disclosed in a size, color, contrast, location, duration and audibility that is readily noticeable, readable, understandable and capable of being heard.

(ii) The statement or disclosure does not contradict and is not inconsistent with any other information with which the statement or disclosure is presented.

(iii) If the statement or disclosure modifies, explains or clarifies other information with which the statement or disclosure is presented:

(A) the statement or disclosure is presented in proximity to the information that the statement or disclosure modifies in a manner that is likely to be noticed, readable and understandable; and

(B) the statement or disclosure is not to be obscured in any manner.

(iv) If the statement or disclosure is an audio statement or disclosure, the statement or disclosure is delivered in a volume and cadence sufficient for a consumer to hear and comprehend the statement or disclosure.

(v) If the statement or disclosure is a visual statement or disclosure, the statement or disclosure is of a size and shade and appears on the screen for a duration sufficient for a consumer to read and comprehend the statement or disclosure.

(vi) If the statement or disclosure is a print advertisement or promotional material, including a point-of-sale display or brochure materials directed to a consumer, the statement or disclosure is in a type size and location sufficiently noticeable for a consumer to read and comprehend the statement or disclosure in a print that contrasts with the background against which the statement or disclosure appears.""",Not mentioned,Not mentioned,
