Name,Category,Author name,Author category,"Does the document acknowledge/reference a broader ""primitive""",Use cases mentioned,Watermark/Watermark-Adjacent Technologies Mentioned,Technologies as an Exhaustive List,Coordination with developer for watermark generation (coarse),Coordination with developer for watermark generation (fine),Detection process acknowledgement,Detection process implementation (Fine),Distinguish between verifiers and tool providers (coarse),Distinguish between verifiers and tool providers (fine),Who are verifiers required to trust (coarse),Who are verifiers required to trust (fine),What properties does the document acknowledge?,Adversarial robustness (coarse),Adversarial robustness (fine),Honest robustness (coarse),Honest robustness (fine),Quality (coarse),Quality (fine),False negative rate (coarse),False negative rate (fine),Unforgeability (coarse),Unforgeability (fine),False positive rate (coarse),False positive rate (fine),Calls to action,Assertiveness of call to action,Additional Notes,Column 33,Column 34,Column 35
"AI Research, Innovation, and Accountability Act of 2023",Bill (rejected),John Thune,Government official(s),Yes,None,"Explicit labels, Metadata tagging",Examples,Does not discuss,"Not mentioned (Metadata tagging)
Not Applicable (Explicit labels)",Acknowledges that a detection process exists (if applicable),Just acknowledges,No,N/A,Not mentioned,N/A,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Development of standards,Legal mandate,Mentions watermarking vaguely,,,Not Mentioned
S 880 (North Carolina),Bill (rejected),Redistricting and Elections Committee,Government entity,No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
2660 (Pennsylvania),Bill (rejected),"CEPEDA-FREYTIZ, PROBST, HILL-EVANS, PIELLI, SANCHEZ, McNEILL, SCHLOSSBERG, GIRAL, OTTEN, POWELL, MERSKI, DONAHUE, BOYD, DALEY AND GREEN",Government official(s),No,None,"""Say """"I Used AI""""""",Examples,Does not discuss,N/A (Say 'I Used AI'),Not Applicable,N/A (Say 'I Used AI'),Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,No person should remove watermarks,Legal mandate,,,,
S 942 (California),Bill (passed into law),Josh Becker,Government official(s),Yes,Deepfakes,"Invisible Watermarks, Visible Watermarks",Examples,Adding watermarks requires model developer involvement,Mandates that model providers need to add watermarks and provide detection tools (invisible watermarks). Mandates that model providers need to add watermarks (visible watermarks),Acknowledges that a detection process exists (if applicable),"Mentions that disclosures must be compatible with a publicly-accessible tool for detecting AI content, which outputs any (system, but not personal) provenance data included in the disclosure, allows for uploading content or URLs to content, and can be accesed via an API in addition to via a website (invisible watermarks). Not applicable (visible watermarks). ",Yes,"Yes (Invisible watermarks), Not Applicable (Visible Watermarks)",Not mentioned,"Not mentioned (visible watermarks), Not mentioned (invisible watermarks)",Adversarial Robustness,Acknowledged.,"Mentions that model providers must add disclosures that are ""permanent or extraordinarily difficult to remove, to the extent it is technically feasible"" (visible watermarks). Mentions that model providers must add disclosures that are ""permanent or extraordinarily difficult to remove, to the extent it is technically feasible"" (invisible watermarks).",Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,"Model providers must add watermarks, Model providers must provide an option to include watermarks",Legal mandate,"Not very clear distinction between technologies (for example, ""latent"" disclosure could be both invisible watermarks or metadata tagging). Broad mention of a public ""AI detection tool"". No clear definition of scope of ""created or altered"" content from AI models. Broad mention of latent disclosure being ""widely accepted industry standards"". Note: model providers must add latent disclosures, but must provide the option to add visible disclosures.",,,
H 1147 (Colorado),Bill (passed into law),Junie Joseph,Government official(s),No,"Election Integrity, Deepfakes","""Say """"I Used AI"""""", Metadata tagging",Examples,Does not discuss,"Not mentioned (metadata tagging). Not applicable (say ""I used AI"").",Does not acknowledges that a detection process exists (if applicable),"Not mentioned (metadata tagging). Not applicable (say ""I used AI"").",No,"""Not Applicable (Say """"I Used AI"""")"", No (metadata tagging)",Not mentioned,"""Not applicable (say """"I used AI"""")"", Not mentioned (metadata tagging)",Adversarial Robustness,Acknowledged.,"Mentions the disclosure should be ""to the extent technically feasible, permanent or unable to be easily removed by a subsequent user"" (say ""I used AI""). Mentions the disclosure should be ""to the extent technically feasible, permanent or unable to be easily removed by a subsequent user"" (metadata tagging).",Not mentioned.,"Not mentioned (metadata tagging). Not mention (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mention (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mention (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mention (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mention (say ""I used AI"").",Model users must include disclaimer,Legal mandate,Better scope than other bills in how it defines the covered content. Clearly states that the model provider is not in the scope of the bill.,,,
A 2355 (California),Bill (passed into law),Wendy Carrillo,Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"").",Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Model users must include disclaimer,Legal mandate,Better scope than other bills in how it defines the covered content.,,,
S 1680 (Florida),Bill (passed into law),Jennifer Bradley,Government official(s),Yes,None,None,N/A,Does not discuss,N/A,Does not acknowledges that a detection process exists (if applicable),N/A.,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Development of standards,Legal mandate,"Broad reference to ""requiring disclosure"".",,,
S 131 (Utah),Bill (passed into law),Wayne A. Harper,Government official(s),No,Election Integrity,"Metadata tagging, ""Say """"I Used AI""""""",Examples,Does not discuss,"N/A (Say 'I Used AI')
Does not discuss (Metadata tagging)",Does not acknowledges that a detection process exists (if applicable),"N/A (Say 'I Used AI')
Not acknowledged (Metadata Tagging)",No,"No (Metadata Tagging), ""Not Applicable (Say """"I Used AI"""")""",Not mentioned,Not mentioned,Adversarial Robustness,Metadata tags should be tamper resistant,,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Model users must include disclaimer,Legal mandate,,,,
EU AI Act,Bill (passed into law),The Comission,Government entity,No,"Deepfakes, Fraud/Scams, Identity Theft","Cryptographic/Digital Signatures, Metadata tagging, Explicit labels",Examples,Adding watermarks requires model developer involvement,,Acknowledges that a detection process exists (if applicable),"Simply acknowledges that marking must be detected in some way and synthetic content needs to be detected in an interoperable manner.
Does not discuss specifics (Digital Signatures)
Does not discuss specifics (Metadata tagging)
Not Applicable (Explicit Labels)",Yes,"Yes (metadata tagging), Not Applicable (Explicit Labels), No (Cryptographic/Digital Signatures)",Not mentioned,Not mentioned,Adversarial Robustness,"Any embedded technical marking should be robust, reliable, interoperable, effective.",N/A,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Model users must include disclaimer, Model providers should provide detection tools",Legal mandate,"Discuss watermarking without describing what kind, also describe that marking can be at model level or system level, also describe that tools should be interoperable. ",,,
Advisory for AI-Generated Content Act,Bill (rejected),Sen. Pete Ricketts,Government official(s),Yes,None,None,N/A,Adding watermarks requires model developer involvement,N/A,Does not acknowledges that a detection process exists (if applicable),N/A,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,"Model providers must add watermarks, Development of standards",Legal mandate,"Frames watermarks as a vague, abstract technology. No clear definition of what counts as AI-generated material (lightly edited? full content?). No clear definition of what AI-generating entity is (the model provider, or person using the model?).",,,
Civilian Agency AI Watermark Act,Bill (rejected),Rep. Sheila Jackson Lee,Government official(s),Yes,None,None,N/A,Does not discuss,N/A,Does not acknowledges that a detection process exists (if applicable),N/A,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Development of standards,Legal mandate,,,,
Content Origin Protection and Integrity from Edited and Deepfaked Media Act of 2024,Bill (rejected),"US sens. Cantwell, Blackburn, Heinrich",Government official(s),Yes,Deepfakes,None,N/A,Adding watermarks requires model developer involvement,Mentions that model developers are required to provide the ability to include provenance information in outputs,Does not acknowledges that a detection process exists (if applicable),N/A,No,N/A,Not mentioned,Not applicable,Adversarial Robustness,"Mentions that model providers need to ""establish, to the extent technically feasible, reasonable security measures to ensure that such content provenance information is [...] not easily removed, altered, or separated from the underlying content.""",N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,"No person should remove watermarks, Model providers must provide an option to include watermarks, Development of standards",Legal mandate,"Uses ""watermarks"" in a way that could be both visible or invisible watermarks. In general, frames watermarks as a vague, abstract technology.",,,
AI Transparency in Elections Act,Bill (rejected),"
Rep. Joseph Morelle",Government official(s),No,Election Integrity,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,"Not applicable (say ""I used AI"")",Not Applicable,Not applicable (explicit labels),Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").","Model users must include disclaimer, Development of standards",Legal mandate,"Includes ""substantially modified"" content as part of bill.",,,
Protecting Consumers from Deceptive AI Act,Bill (rejected),Rep. Anna Eshoo,Government official(s),Yes,"Deepfakes, Identity Theft, Fraud/Scams, Election Integrity","Metadata tagging, Visible Watermarks, Invisible Watermarks",Examples,Adding watermarks requires model developer involvement,Mentions that model developers are required to provide the ability to include provenance information in outputs (invisible watermarks). Mentions that model developers are required to provide the ability to include provenance information in outputs (visible watermarks). Mentions that model developers are required to provide the ability to include metadata tags in outputs (metadata tags).,Acknowledges that a detection process exists (if applicable),"Mentions that watermark should be ""machine-readable"" (invisible watermarks). Mentions that watermark should be ""machine-readable"" (visible watermarks). Not mentioned (metadata tags).",No,"No (invisible watermarks), No (metadata tagging), No (visible watermarks)",Not mentioned,"Not mentioned (metadata tagging), Not mentioned (invisible watermarks), Not mentioned (visible watermarks)",Adversarial Robustness,Acknowledged.,"Mentions watermarks should be ""to the extent technically feasible [...] difficult to remove or obscure"", and that model developers should take ""reasonable measures"" to make them hard to remove (invisible watermarks). Mentions watermarks should be ""to the extent technically feasible [...] difficult to remove or obscure"", and that model developers should take ""reasonable measures"" to make them hard to remove (visible watermarks). Not mentioned (metadata tagging).",Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not mentioned (visible watermarks).,"Development of standards, Model providers must add watermarks, No person should remove watermarks",Legal mandate,"Mentions metadata tagging should be ""cryptographically verifiable"". Explicitly defines the term ""watermaks"" as both visible and invisible watermarks. Mentions the interplay between explicit labels and other technologies. Note: the mandate about not removing watermarks applies to ""covered online platforms"". Includes ""substantially modified"" content as part of bill.",,,
AI Disclosure Act of 2023,Bill (rejected),Rep. Ritchie Torres,Government official(s),No,None,Explicit labels,Examples,Adding watermarks requires model developer involvement,Mentions that models must include explicit labels in their outputs,Not Applicable,Not applicable (explicit labels).,Not Applicable,Not applicable (explicit labels),Not mentioned,Not mentioned (explicit labels),None,Not mentioned.,Not mentioned (explicit labels).,Not mentioned.,Not mentioned (explicit labels).,Not mentioned.,Not mentioned (explicit labels).,Not mentioned.,Not mentioned (explicit labels).,Not mentioned.,Not mentioned (explicit labels).,Not mentioned.,Not mentioned (explicit labels).,Model providers must add watermarks,Legal mandate,No clear definition of what content is covered under this bill.,,,
REAL Political Advertisements Act ,Bill (rejected),Sen. Amy Klobuchar,Government official(s),No,"Election Integrity, Misinformation, Disinformation","""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,Not applicable (explicit labels).,Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").","Model users must include disclaimer, Development of standards",Legal mandate,"Like other bills, the ""development of standards"" includes definitions of what even is gen AI content.",,,
A 3050 (California),Bill (rejected),Evan Low,Government official(s),Yes,Deepfakes,None,N/A,Adding watermarks requires model developer involvement,"Vaguely mentions that ""AI-generating entity"" needs to watermark model outputs, but n.b. that there is no clear definition of what ""AI-generating entity"" is.",Does not acknowledges that a detection process exists (if applicable),N/A.,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,"Development of standards, Model providers must add watermarks",Legal mandate,"Uses "" watermark"" as a vague, abstract concept, with no clear distinction between technologies. No clear definition of what counts as AI-generated (edited? full content?). No clear definition of what AI-generating entity is (the model provider, or person using the model?).",,,
S 217 (Ohio),Bill (rejected),"Louis Blessing, Terry Johnson",Government official(s),Yes,"CSAM, Identity Theft",None,N/A,Does not discuss,N/A,Does not acknowledges that a detection process exists (if applicable),N/A,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,"Model providers must add watermarks, No person should remove watermarks",Legal mandate,"Uses ""watermarks"" as a vague, abstract concept. No clear definition of scope of ""AI-generated product"". Note: the provision of not removing watermarks applies when the removal is ""with the purpose of concealing that the product was generated using artificial intelligence"" (what does this even mean?)",,,
H 5321 (Illinois),Bill (rejected),Rep. Abdelnasser Rashid,Government official(s),Yes,None,"Metadata tagging, Explicit labels",Examples,Adding watermarks requires model developer involvement,Mandates that model providers need to add visual disclosures to outputs (explicit labels). Mandates that model providers need to add metadata tags to outputs (explicit labels).,Does not acknowledges that a detection process exists (if applicable),Not mentioned (metadata tagging). Not applicable (explicit labels).,No,"Not applicable (explicit labels), No (metadata tagging)",Not mentioned,"Not mentioned (metadata tagging), Not mentioned (explicit labels)",Adversarial Robustness,Acknowledged.,"Disclosure should be ""to the extent technically feasible, be permanent or unable to be easily removed by subsequent users"" (explicit labels). Not mentioned (metadata tagging). ",Not mentioned.,Not mentioned (explicit labels). Not mentioned (metadata tagging).  ,Not mentioned.,Not mentioned (explicit labels). Not mentioned (metadata tagging).  ,Not mentioned.,Not mentioned (explicit labels). Not mentioned (metadata tagging).  ,Not mentioned.,Not mentioned (explicit labels). Not mentioned (metadata tagging).  ,Not mentioned.,Not mentioned (explicit labels). Not mentioned (metadata tagging).  ,"Model providers must add watermarks, No person should remove watermarks",Legal mandate,"Defines covered contented as that which is created or modified with AI in a way that ""materially alters the meaning or significance that a reasonable person would take away from the content"". Broad reference to a ""visual disclosure"", which could be both explicit labels or visible watermarks. Requires that model providesrs contractally require no removal of watermarks from downstream users of the system.",,,
S 7847 (New York),Bill (rejected),Sen. Lea Webb,Government official(s),No,None,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,Not applicable (explicit labels).,Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Model users must include disclaimer,Legal mandate,"No clear definition of what content is covered under this bill; vague reference to ""wholly or partially composed or authored"" using AI tools.",,,
S 7922 (New York),Bill (rejected),Nathalia Fernandez,Government official(s),No,None,"""Say """"I Used AI""""""",Examples,Does not discuss,"Not applicable (say ""I used AI"").",Not Applicable,Not applicable (explicit labels).,Not Applicable,"""Not Applicable (Say """"I Used AI"""")""",Not applicable,"""Not applicable (say """"I used AI"""")""",None,Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (say ""I used AI"").",Model users must include disclaimer,Legal mandate,"Bill is in the context of publishing books. No clear definition of what content is covered under this bill; vague reference to ""wholly or partially created"" using AI tools.",,,
